קטגוריה,שם הזמן בעברית,שם הזמן באנגלית,תיאור קצר,שיטה,KosherJava method,Hebcal API field,Zemaneh Yosef,הערות
ערב,בין השמשות - ירעים 16.875 דקות,Bain HaShmashos Yereim 16.875 Minutes,בין השמשות לפי ירעים 16.875 דקות,ירעים,getBainHashmashosYereim16Point875Minutes(),,no,
ערב,בין השמשות - ירעים 18 דקות,Bain HaShmashos Yereim 18 Minutes,בין השמשות לפי ירעים 18 דקות,ירעים,getBainHashmashosYereim18Minutes(),,no,
ערב,צאת הכוכבים (ברירת מחדל),Tzais Default,צאת הכוכבים - 8.5 מעלות ברירת מחדל,כללי,getTzais(),,no,ZmanimCalendar - 8.5 מעלות
ערב,צאת הכוכבים - גאונים 3.7 מעלות,Tzais Geonim 3.7 Degrees,צאת 3.7 מעלות מתחת לאופק,גאונים,getTzaisGeonim3Point7Degrees(),,no,
ערב,צאת הכוכבים - גאונים 3.8 מעלות,Tzais Geonim 3.8 Degrees,צאת 3.8 מעלות מתחת לאופק,גאונים,getTzaisGeonim3Point8Degrees(),,no,
ערב,צאת הכוכבים - גאונים 4.37 מעלות,Tzais Geonim 4.37 Degrees,צאת 4.37 מעלות מתחת לאופק,גאונים,getTzaisGeonim4Point37Degrees(),,no,
ערב,צאת הכוכבים - גאונים 4.61 מעלות,Tzais Geonim 4.61 Degrees,צאת 4.61 מעלות מתחת לאופק,גאונים,getTzaisGeonim4Point61Degrees(),,no,
ערב,צאת הכוכבים - גאונים 4.8 מעלות,Tzais Geonim 4.8 Degrees,צאת 4.8 מעלות מתחת לאופק,גאונים,getTzaisGeonim4Point8Degrees(),,no,
ערב,צאת הכוכבים - גאונים 5.88 מעלות,Tzais Geonim 5.88 Degrees,צאת 5.88 מעלות מתחת לאופק,גאונים,getTzaisGeonim5Point88Degrees(),,no,
ערב,צאת הכוכבים - גאונים 5.95 מעלות,Tzais Geonim 5.95 Degrees,צאת 5.95 מעלות מתחת לאופק,גאונים,getTzaisGeonim5Point95Degrees(),,no,
ערב,צאת הכוכבים - גאונים 6.45 מעלות,Tzais Geonim 6.45 Degrees,צאת 6.45 מעלות מתחת לאופק,גאונים,getTzaisGeonim6Point45Degrees(),,no,
ערב,צאת הכוכבים - גאונים 7.083 מעלות,Tzais Geonim 7.083 Degrees,צאת 7.083 מעלות - 3 כוכבים בינוניים,גאונים,getTzaisGeonim7Point083Degrees(),tzeit7083deg,no,ברירת מחדל Hebcal לצאת רגילה
ערב,צאת הכוכבים - גאונים 7.67 מעלות,Tzais Geonim 7.67 Degrees,צאת 7.67 מעלות מתחת לאופק,גאונים,getTzaisGeonim7Point67Degrees(),,no,
ערב,צאת הכוכבים - גאונים 8.5 מעלות,Tzais Geonim 8.5 Degrees,צאת 8.5 מעלות - 3 כוכבים קטנים,גאונים,getTzaisGeonim8Point5Degrees(),tzeit85deg,no,
ערב,צאת הכוכבים - גאונים 9.3 מעלות,Tzais Geonim 9.3 Degrees,צאת 9.3 מעלות מתחת לאופק,גאונים,getTzaisGeonim9Point3Degrees(),,no,
ערב,צאת הכוכבים - גאונים 9.75 מעלות,Tzais Geonim 9.75 Degrees,צאת 9.75 מעלות מתחת לאופק,גאונים,getTzaisGeonim9Point75Degrees(),,no,
ערב,צאת הכוכבים - 13.5 דקות זמניות,Tzait (Zemaneh Yosef),צאת לפי 13.5 דקות זמניות אחרי שקיעה,ר׳ עובדיה,,,"yes - getTzeit()",ייחודי לזמני יוסף - גאונים
ערב,צאת הכוכבים - לחומרא (20 דקות זמניות),Tzait L'Chumra,צאת לחומרא - 20 דקות זמניות אחרי שקיעה,ר׳ עובדיה,,,"yes - getTzeitLChumra()",ייחודי לזמני יוסף - מחמיר
ערב,צאת הכוכבים - 16.1 מעלות,Tzais 16.1 Degrees,צאת 16.1 מעלות מתחת לאופק,כללי,getTzais16Point1Degrees(),,no,
ערב,צאת הכוכבים - 18 מעלות,Tzais 18 Degrees,צאת 18 מעלות מתחת לאופק,כללי,getTzais18Degrees(),,no,
ערב,צאת הכוכבים - 19.8 מעלות,Tzais 19.8 Degrees,צאת 19.8 מעלות מתחת לאופק,כללי,getTzais19Point8Degrees(),,no,
ערב,צאת הכוכבים - 26 מעלות,Tzais 26 Degrees,צאת 26 מעלות מתחת לאופק,כללי,getTzais26Degrees(),,no,חישוב קיצוני
ערב,צאת הכוכבים - 42 דקות,Tzais 42 Minutes,42 דקות קבועות אחרי שקיעה,,,,tzeit42min,no,Hebcal בלבד
ערב,צאת הכוכבים - 50 דקות,Tzais 50 Minutes,50 דקות קבועות אחרי שקיעה,כללי,getTzais50(),tzeit50min,no,
ערב,צאת הכוכבים - 60 דקות,Tzais 60 Minutes,60 דקות קבועות אחרי שקיעה,כללי,getTzais60(),,no,
ערב,צאת הכוכבים - 72 דקות,Tzais 72 Minutes,72 דקות קבועות אחרי שקיעה,כללי,getTzais72(),tzeit72min,no,ZmanimCalendar - ר״ת דקות קבועות
ערב,צאת הכוכבים - 72 דקות זמניות,Tzais 72 Zmaniyot Minutes,72 דקות זמניות אחרי שקיעה,ר״ת / ר׳ עובדיה,getTzais72Zmanis(),,yes - getTzais72Zmanis(),ר״ת בזמני יוסף
ערב,צאת הכוכבים - 72 דקות זמניות (כפייה),Tzais 72 Force Reg Zmanis,72 דקות זמניות - חישוב רגיל ללא מעלות,ר׳ עובדיה,,,"yes - getTzais72ForceRegZmanis()",ייחודי לזמני יוסף
ערב,צאת הכוכבים - 90 דקות,Tzais 90 Minutes,90 דקות קבועות אחרי שקיעה,כללי,getTzais90(),,no,
ערב,צאת הכוכבים - 90 דקות זמניות,Tzais 90 Zmaniyot Minutes,90 דקות זמניות אחרי שקיעה,כללי,getTzais90Zmanis(),,no,
ערב,צאת הכוכבים - 96 דקות,Tzais 96 Minutes,96 דקות קבועות אחרי שקיעה,כללי,getTzais96(),,no,
ערב,צאת הכוכבים - 96 דקות זמניות,Tzais 96 Zmaniyot Minutes,96 דקות זמניות אחרי שקיעה,כללי,getTzais96Zmanis(),,no,
ערב,צאת הכוכבים - 120 דקות,Tzais 120 Minutes,120 דקות קבועות אחרי שקיעה,כללי,getTzais120(),,no,
ערב,צאת הכוכבים - 120 דקות זמניות,Tzais 120 Zmaniyot Minutes,120 דקות זמניות אחרי שקיעה,כללי,getTzais120Zmanis(),,no,
ערב,צאת הכוכבים - עטרת תורה,Tzais Ateret Torah,צאת לפי עטרת תורה - offset מותאם אישית,ר׳ עובדיה,getTzaisAteretTorah(),,yes - getTzaisAteretTorah(),ברירת מחדל למוצ״ש בזמני יוסף
ערב,צאת הכוכבים - בעל התניא,Tzais Baal HaTanya,צאת לפי בעל התניא,בעל התניא,getTzaisBaalHatanya(),,no,
מוצ״ש,צאת שבת - עמודי הוראה,Tzait Shabbat Amudei Horaah,צאת שבת לפי עמודי הוראה - 7.165 מעלות,ר׳ עובדיה,,,"yes - getTzeitShabbatAmudeiHoraah()",ייחודי לזמני יוסף - לא פחות מ-20 דקות
מוצ״ש,צאת שבת - עמודי הוראה (פחות מ-40),Tzait Shabbat Amudei Horaah < 40,המוקדם מבין עטרת תורה ועמודי הוראה,ר׳ עובדיה,,,"yes - getTzeitShabbatAmudeiHoraahLesserThan40()",ייחודי לזמני יוסף
מוצ״ש,צאת ר״ת - 72 דקות זמניות (עמודי הוראה לקולא),Tzais 72 Zmanis Amudei Horaah L'Kulah,המוקדם מבין 72 דקות קבועות ו-72 זמניות,ר׳ עובדיה,,,"yes - getTzais72ZmanisAmudeiHoraahLkulah()",ייחודי לזמני יוסף
לילה,תחילת זמן קידוש לבנה - 3 ימים,Earliest Kiddush Levana 3 Days,3 ימים אחרי המולד,כללי,getTchilasZmanKidushLevana3Days(),,no,
לילה,תחילת זמן קידוש לבנה - 7 ימים,Earliest Kiddush Levana 7 Days,7 ימים אחרי המולד,כללי,getTchilasZmanKidushLevana7Days(),,no,
לילה,סוף זמן קידוש לבנה - 15 ימים,Latest Kiddush Levana 15 Days,15 ימים אחרי המולד,כללי,getSofZmanKidushLevana15Days(),,no,
לילה,סוף זמן קידוש לבנה - בין מולדות,Latest Kiddush Levana Between Moldos,חצי מחזור לבנה מהמולד,כללי,getSofZmanKidushLevanaBetweenMoldos(),,no,
לילה,זמן מולד,Zman Molad,זמן המולד,כללי,getZmanMolad(),,no,
כללי,שעה זמנית - גר״א,Shaah Zmanit GRA,שעה זמנית לפי גר״א (מהנץ לשקיעה),גר״א,getShaahZmanisGra(),,no,מחזיר long (מילישניות)
כללי,שעה זמנית - מג״א,Shaah Zmanit MGA,שעה זמנית לפי מג״א (מעלות לצאת),מג״א,getShaahZmanisMGA(),,no,מחזיר long (מילישניות)
כללי,זמן שעון מקומי ממוצע,Local Mean Time,זמן שעון שמש מקומי,כללי,getLocalMeanTime(),,no,AstronomicalCalendar
כללי,מעבר שמש תחתון,Sun Lower Transit,מעבר תחתון של השמש - חצות לילה אסטרונומי,כללי,getSunLowerTransit(),,no,AstronomicalCalendar
